calories,protein,fat,sodium,fiber,sugars,potass,vitamins,weight,cups,mfr A,mfr G,mfr K,mfr N,mfr P,mfr Q,mfr R,cold,hot
110,2,1,200,0.0,3,35,100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1,1,135,0.0,12,25,25,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
90,3,0,170,3.0,2,90,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
90,2,0,0,2.0,6,110,25,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,2,0,0,1.0,0,50,0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
130,3,2,210,2.0,8,100,25,1.33,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130,3,2,170,1.5,10,120,25,1.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,1,250,0.0,3,60,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,2,180,1.5,10,70,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,3,1,210,5.0,12,240,25,1.33,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,0,290,0.0,3,35,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
70,4,1,260,9.0,5,320,25,1.0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,1,200,1.0,8,60,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,2,1,220,2.0,6,90,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,1,3,210,0.0,9,45,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,3,1,140,3.0,5,85,25,1.0,0.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
80,2,0,0,3.0,0,95,0,0.83,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
110,6,2,290,2.0,1,105,25,1.0,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,3,0,170,3.0,3,90,25,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
90,3,0,0,3.0,0,120,0,1.0,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50,1,0,0,0.0,0,15,0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,2,1,70,1.0,15,40,25,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
